Customer_ID,Name,Email,Phone,Country
a85e6a90-78d5-490c-a53f-c58b2e57c59b,Shannon Deleon,,5878628895,Japan
babec972-ffb3-4c56-99c3-e8e3855adf0f,Christina Sanchez,craigprice@example.org,4832368495,Haiti
d74c33bd-69d9-4718-9e00-d1895a41ddac,Thomas Brown,vjohnson@example.org,(276)903-7065,Pakistan
ff05ceba-f459-4714-a252-e03198d9934c,Lindsey Bradford,kathryn50@example.net,,Marshall Islands
f20755f6-8481-4904-afe6-504451ceded5,John Boyer,jennifer15@example.org,(749)644-5721,New Caledonia
2140af6b-0b34-434e-a567-c8c2fa36dacc,Paula Sims,angelalong@example.org,695-406-8297x62008,Vietnam
e390fd9b-f416-4179-82d5-54f275ed749e,Erin Porter,sharonwood@example.com,001-463-276-0820x6208,Trinidad and Tobago
7cd74fea-3cb7-4f42-aaff-55eeb852e48e,Courtney Roberts,wmartinez@example.org,,Togo
d63527d7-7e3a-477a-9647-7ea1d9bdb87f,Ann Smith,solischarles@example.com,+1-395-232-1750x475,Hong Kong
9ca4c4ed-49bd-445d-9dad-9a32cbbb2145,John Henderson,dillonlisa@example.com,001-789-987-0072,Mali
8a8e0e43-2a68-4545-9e19-08f44a319476,Scott Guzman,dguerrero@example.net,(759)791-1455,Fiji
96012fd8-091c-4290-a3c3-b8fb9b8772e0,Ruth Alvarez,,917.965.7512,Papua New Guinea
fa0eb7a7-d4b3-4718-b81c-194fdc8bdeba,Victor Cowan,torresjustin@example.com,001-383-795-0054x1972,Australia
8056d143-f0d2-4bc5-997f-bb4e063836e6,Maria Cox,sarah39@example.net,597-899-7173,Finland
843365a0-30d5-4796-b601-861cae3cbc75,Olivia Tyler,arnoldnatalie@example.com,7139501631,Faroe Islands
61a98216-3f7a-4a96-b561-172f46606985,Emily Reed,stephenrich@example.com,+1-975-266-7142,Afghanistan
e738d2c5-cd3e-48fc-b2d4-5c181e398120,Amber Bradshaw,judith30@example.org,(359)384-4954x8578,Equatorial Guinea
4d49980c-3673-45b6-8dec-800abe913197,Kyle Dean MD,thompsonjennifer@example.com,+1-212-814-2921x436,Saint Pierre and Miquelon
