Sales_Rep_ID,Name,Region,Sales_Target,Sales_Achieved
0437b05a-9628-43f9-ac07-0b9a0dc96dcd,Brittany Taylor,California,41135,14037.0
4daeb6af-d7e9-4f99-91b3-6c912f45b740,Mitchell Williams,New Hampshire,32996,21461.0
f243144e-485f-4382-81ef-2a9a3c63f172,John Terry,Kansas,10385,
9c44ee81-8254-45e1-af23-a4608ceb126c,Carolyn Miller,Arizona,23754,17149.0
3e97b5d8-933a-4860-bce7-2398af6c5613,Antonio Sparks,Washington,27101,36413.0
e972a171-f017-4e03-afeb-97404ac6a71c,Donna Smith,Tennessee,49186,29552.0
7bf59475-aa40-48d6-90bb-e51ffcc0cba7,Lisa Moore,Oregon,39695,37771.0
1ce71e8b-2ac6-4939-bdca-476b9861362a,Alicia Johnston,Colorado,27703,21295.0
1f463865-908f-453f-8c86-5832f423dba6,James Nicholson,Vermont,25306,7319.0
a72e32c4-ca21-4bca-9563-7c570fef3bd0,David Miller,Colorado,38316,6119.0
5251ef10-fefe-4622-b4cf-b7d97bcce4fd,David Todd,South Carolina,45521,26803.0
13303e49-6260-4e49-93da-e1abfd37a692,Edward Delacruz II,Illinois,15699,29947.0
e436fc49-a67b-4eda-bab9-a19a0b31a3e2,Cory Cardenas,Ohio,37555,22117.0
33ea8c7d-1b0a-4be7-9cff-d35ea357325f,Anna Reid,Arkansas,30862,38252.0
06a9a95f-ae20-44ae-ad5d-d4bdf5f121d0,Sean Snyder,Illinois,19165,11748.0
5afc6a19-ffa5-43ef-8acd-d022f6837055,Rachael French,Ohio,40598,
bee79b36-32a7-44ab-8bb6-6e393573b240,Cameron Peterson,Arizona,14202,
8f50db63-4bac-4baf-8ef4-2aea9b8150be,Michelle Mills,Wisconsin,20175,
69963dca-cd5e-4109-abdf-a72f8d324cf6,Robert Payne,Hawaii,25094,30338.0
d7558c8d-5355-48e7-8b88-30ab41ff2b8f,Samantha Watson,Louisiana,16456,30262.0
8aede4f3-bd43-45a7-9edc-5d69a2645fa1,Brian Wallace MD,Kentucky,11588,22321.0
2f1183af-7ef6-498a-a851-91820338ff67,Justin Evans,Oregon,32612,18354.0
cff5a157-eebc-4c5a-9fe1-2d5d7820f90d,Bobby Long,Vermont,40567,31165.0
98586a1d-9962-4bf9-9385-7d5980e4ba63,Melissa Ruiz,West Virginia,17436,35677.0
02acdbab-d149-4053-8c7a-871ba76f003e,Daniel Barber,Arizona,13651,7296.0
37455a0c-e36c-428f-b4cb-0ad5ce09f8b5,Linda Rogers,Utah,35183,28521.0
83d4bcc2-c5c2-4953-b888-2748e313cc66,Mary Hernandez,Idaho,15272,21883.0
e4ac7bb5-a6cd-4c7c-8488-433ed9a00b60,Jasmine Cross MD,New Jersey,37589,10321.0
05cc8513-8a8a-4598-862a-218d1093ae26,Pamela Pennington,Idaho,38399,11569.0
d07336a6-e21c-45d9-bc59-bb63382649bc,Hannah Smith,Michigan,13650,7713.0
bcbf0f5c-6497-4219-b42b-4954b88b0480,Carol Stephenson,Maryland,22102,27941.0
87adedcb-ab44-4cf8-ac92-6f3ca9a9712e,Andrew Rice,Oregon,19974,34985.0
6af3a505-ac9e-4b75-8784-731ed5f5ed73,Angela Bradley,Indiana,12422,7865.0
c48b42a3-544b-4542-8528-4208e6f80b46,Michael Cline,Kentucky,18428,19611.0
d0fa26a0-d161-4976-ae9a-9c5f74fc103c,Erin Ramos,Wisconsin,43828,11721.0
ab37df34-610e-4c16-956b-4f2e38cb60bf,William Lee,Idaho,35494,12772.0
61989b73-1807-414a-a75b-f194c0152dba,Jennifer Flores,Iowa,13595,15187.0
9dd03ac8-7cac-493d-bcd1-06ca9a66ca33,Angela Miller,Alabama,13020,33280.0
2bad2c4e-1891-4fdf-921f-39712c19df58,Randy Bennett,Mississippi,21218,11336.0
459201da-22e7-417e-ba68-bc972bf96e81,Kimberly Green,Utah,19369,29404.0
5184e796-6c9f-4019-907b-6e9e838430f3,Jasmine Davis,Utah,47445,23227.0
e606e140-e08f-44a6-a97f-9de66467c52d,Michael Miller,West Virginia,32649,19094.0
182f2a72-4271-4bbb-af12-abe8c23f6b80,Teresa Evans,Oklahoma,33311,13239.0
9bf470dd-8ea5-453c-8546-b7cb39d39c47,Daniel Klein,North Dakota,16071,
e48e19e2-3978-4330-ac3b-4e3217312d72,Amber Lawson,Montana,47241,29704.0
0468e32e-644b-491f-a3e1-741306f2c3f2,Dr. Wayne Spencer DVM,Pennsylvania,15593,37653.0
5f719abf-9d76-49d9-a082-e408309d38b9,Heather Henry,Montana,27915,10441.0
440d8680-f45c-487d-9a53-1164227504ed,Emily Robinson,Texas,26985,19751.0
b765f7ba-f31c-493a-bcf9-c048506b6448,Curtis White,Louisiana,31635,31624.0
8d3bd9c2-124c-48f1-b925-68d0a28ae4a2,Kelly Ibarra,Utah,18095,31604.0
d0fa26a0-d161-4976-ae9a-9c5f74fc103c,Erin Ramos,Wisconsin,43828,11721.0
8aede4f3-bd43-45a7-9edc-5d69a2645fa1,Brian Wallace MD,Kentucky,11588,22321.0
