Customer_ID,Name,Email,Phone,Country
003ca69a-991c-4c11-899a-51bb7365499d,Erica Diaz,hurleyanna@example.com,+964-8545044941,Iraq
006af455-013b-4c09-a6df-15ca3d41010f,Jason Jackson,dylanduran@example.com,+63-2484285464,Philippines
00fc38f7-b5c7-465c-839b-a55185f2635f,Heather Schneider,larajohn@example.org,+264-7935879728,Namibia
015cc4e1-5cf8-441c-80ad-ca3536c53e9a,Matthew Wilson,timothyho@example.org,+357-8883554148,Cyprus
01d13428-d511-4c3d-90c7-b5624931ff48,Robert Contreras,lydia12@example.com,unknown,Swaziland
022be62d-eb06-4ef4-b6e7-5ddc92ba2009,Megan Roberts,idiaz@example.com,+682-5666968200,Cook Islands
025f5aca-fdb3-4dad-82e1-641eecf92d50,Joseph Hurst,johnsondanielle@example.com,+1-5903470679,United States Of America
04ad0d8e-9199-4b32-94b6-55fa1868c331,Jeffrey Parker,loganamanda@example.com,+964-7523952298,Iraq
06c56c9d-c1e5-480d-b82a-71ef2c4a9eca,Megan Reed,thomas40@example.net,+268-7659153762,Swaziland
06f70108-4508-4662-bf7d-0eb90509f910,Heather Brandt,jprice@example.org,+682-7719169174,Cook Islands
075005e4-bb34-4965-bb28-fd100b10c45c,David Mcmahon,dale06@example.com,+1-876-6505093434,Jamaica
0788f200-5721-41ec-9ff5-0ffc65fb465b,Paul Huff,steven74@example.net,+1-758-7652861292,Saint Lucia
07ca86c3-8485-47a5-9d90-d8ccf2f12fe0,David Long,walshmary@example.net,unknown,Nauru
08558fbe-cb5c-4229-af5f-2b5236b4756c,Kyle Garcia,patrickmorgan@example.com,+996-0019917955719,Kyrgyz Republic
088dcd89-6393-405e-9059-f7504fcebf4e,Jasmine Combs,teresahamilton@example.org,+7-4485633146,Russian Federation
08bda8a7-29c0-4ecc-ab29-50e32eaf7ba2,Michael Murphy,pagemaria@example.org,+670-9826809459,Timor-leste
0a1fae74-7af1-4032-8d72-0b0a14f9bd1b,Robert Torres,brianna09@example.org,+593-6205001059,Ecuador
0afa5f18-dd87-4a64-9875-dfd76f255078,Angela Smith,rmorrow@example.org,+502-0012979520906,Guatemala
